session_id,user_id,timestamp,device,browser,location,events,duration_seconds,transactions,revenue,bounce,source_info,user_id_copy
sess_00000,4840.0,2024-01-20T01:40:22,mobile,Firefox,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-20T01:40:22""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-20T01:40:32""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-01-20T01:40:47""}]",3019,1,,yes,"{""utm_source"": ""newsletter"", ""utm_medium"": ""cpc"", ""utm_campaign"": ""retargeting"", ""referrer_url"": null}",
sess_00001,,INVALID_DATE,desktop,,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-03-25T10:34:55""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-03-25T10:35:05""}]",593,,132.46,no,"{""utm_source"": ""facebook"", ""utm_medium"": ""CPC"", ""utm_campaign"": ""spring_sale"", ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00002,2559.0,2024-02-16T01:37:30,mobile,Firefox,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-02-16T01:37:30""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-02-16T01:37:40""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-02-16T01:37:55""}]",0,2,,yes,"{""utm_source"": ""linkedin"", ""utm_medium"": ""social"", ""utm_campaign"": ""retargeting"", ""referrer_url"": null}",
sess_00003,,2024-04-22T11:58:49,mobile,Firefox,IN,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-22T11:58:49""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-22T11:58:59""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-04-22T11:59:14""}]",426,,,1,"{""utm_source"": """", ""utm_medium"": ""display"", ""utm_campaign"": ""brand_awareness"", ""referrer_url"": ""https://affiliate.xyz.com/link123""}",
sess_00004,5800.0,2024-04-24T20:31:58,,Safari,US,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-04-24T20:31:58""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-04-24T20:32:08""}]",3047,2,,yes,"{""utm_source"": ""newsletter"", ""utm_medium"": null, ""utm_campaign"": ""brand_awareness"", ""referrer_url"": """"}",5800.0
sess_00005,,2024-05-15T07:45:09,,Edge,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-15T07:45:09""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-15T07:45:19""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-05-15T07:45:34""}]",2312,1,,1,"{""utm_source"": """", ""utm_medium"": ""cpc"", ""utm_campaign"": null, ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00006,,INVALID_DATE,desktop,Edge,,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-01-08T06:23:06""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-01-08T06:23:16""}]",1754,1,,no,"{""utm_source"": ""email"", ""utm_medium"": ""email"", ""utm_campaign"": null, ""referrer_url"": ""https://google.com/search?q=product""}",
sess_00007,7381.0,2024-03-03T16:12:46,mobile,Firefox,AU,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-03-03T16:12:46""}]",839,,,no,"{""utm_source"": ""facebook"", ""utm_medium"": """", ""utm_campaign"": """", ""referrer_url"": ""https://facebook.com/ad/123""}",
sess_00008,9703.0,2024-05-17T07:43:27,desktop,Firefox,IN,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-17T07:43:27""}, {""event"": ""pageview"", ""page"": ""/product"", ""ts"": ""2024-05-17T07:43:37""}, {""event"": ""click"", ""element"": ""buy_button"", ""ts"": ""2024-05-17T07:43:52""}]",0,1,,,"{""utm_source"": null, ""utm_medium"": """", ""utm_campaign"": ""brand_awareness"", ""referrer_url"": null}",
sess_00009,4902.0,2024-05-20T10:34:55,tablet,Firefox,BR,"[{""event"": ""pageview"", ""page"": ""/"", ""ts"": ""2024-05-20T10:34:55""}]",757,0,,1,"{""utm_source"": ""google"", ""utm_medium"": null, ""utm_campaign"": null, ""referrer_url"": ""https://google.com/search?q=product""}",
